u-g,g-r,r-i,i-z,class
0.35600000000000165,0.4869999999999983,0.0779999999999994,0.11000000000000298,qso
0.8325479999999992,0.2660139999999984,0.10514000000000223,0.0030520000000002767,star
0.21999999999999886,0.00999999999999801,0.24200000000000088,-0.030000000000001137,qso
0.28200000000000003,0.1819999999999986,0.19000000000000128,0.15200000000000102,qso
0.565999999999999,0.26699999999999946,0.35300000000000153,0.2519999999999989,qso
0.3819999999999979,-0.09699999999999775,-0.027000000000001023,0.12199999999999989,qso
1.516926999999999,0.5975900000000003,0.21374400000000016,0.10678700000000063,star
0.36499999999999844,0.13599999999999923,-0.014999999999997016,-0.3460000000000001,wd
2.6976750000000003,1.2566869999999994,0.49297400000000025,0.2606730000000006,star
1.0750540000000015,0.3796980000000012,0.10021199999999908,0.05414599999999936,star
0.5259999999999998,0.16699999999999804,0.028000000000002245,-0.14000000000000057,wd
0.013000000000001677,0.0710000000000015,0.2879999999999967,-0.019999999999999574,qso
0.379999999999999,-0.20399999999999707,-0.18599999999999994,-0.2789999999999999,wd
0.5279999999999987,0.022999999999999687,0.04600000000000293,0.2829999999999977,qso
2.2468830000000004,0.8023479999999985,0.28759799999999913,0.14157500000000134,star
1.921406000000001,0.8010139999999986,0.31929400000000285,0.09931699999999921,star
1.0817209999999982,0.3679080000000017,0.13297599999999932,0.12962700000000105,star
0.19000000000000128,-0.2190000000000012,-0.26599999999999824,-0.22100000000000009,wd
1.179711000000001,0.4238950000000017,0.16772399999999976,0.0397149999999975,star
0.37299999999999756,0.06400000000000006,-0.013999999999999346,-0.129999999999999,wd
-0.20700000000000074,-0.40700000000000003,-0.32099999999999795,-0.34800000000000253,wd
1.211818000000001,0.491124000000001,0.21853299999999898,0.017758000000000607,star
1.4656090000000006,0.5856340000000007,0.24219599999999986,0.14185499999999962,star
1.2700969999999998,0.4572490000000009,0.16869400000000212,0.043549999999999756,star
0.44899999999999807,0.054000000000002046,-0.05700000000000216,-0.09999999999999787,wd
0.20900000000000318,0.16000000000000014,-0.04600000000000293,0.045000000000001705,qso
2.574123,1.2948480000000018,0.5211119999999987,0.2835579999999993,star
