,bp_rp,Gaia_G_EDR3,phase
124,0.9895909999999999,17.951379208558027,0.0
125,0.9847960000000002,17.92338620855803,0.0
126,0.9800940000000002,17.895495208558028,0.0
127,0.9754819999999995,17.867613208558026,0.0
128,0.9709640000000004,17.839810208558028,0.0
129,0.966532,17.81210020855803,0.0
130,0.9621950000000004,17.784415208558027,0.0
131,0.9579459999999997,17.756798208558028,0.0
132,0.9537819999999995,17.729249208558027,0.0
133,0.9497729999999995,17.701994208558027,0.0
134,0.945862,17.67478920855803,0.0
135,0.9420000000000002,17.64719320855803,0.0
136,0.9381529999999998,17.61843920855803,0.0
137,0.9344099999999997,17.589851208558027,0.0
138,0.9307679999999996,17.561386208558027,0.0
139,0.9272270000000002,17.533018208558026,0.0
140,0.9237839999999995,17.504813208558026,0.0
141,0.9204360000000005,17.476761208558028,0.0
