5921370255927100672 265.05805               -53.83969           18.114   
5921364724009111296 265.13518               -53.98521           17.817   
5921364934464897664 265.32676               -54.02883           18.990   
5921370947420662400 265.00411               -53.84638           18.641   
5921370019707356928 265.12619               -53.85839           19.868   
5921368297421913984 264.97618               -53.96727           17.983   
5921367064781997184 265.15703               -53.87124           16.971   
5921370741262345984 264.92982               -53.86439           18.206   
5921370943121868160 265.00230               -53.84126           16.907   
5921367064781997440 265.15417               -53.87263           18.269   
5921369122056059008 264.91836               -53.89966           18.476   
5921317926050439936 265.38611               -54.04399           18.792   
5921370294585439360 265.08339               -53.84410           19.435   
5921374452113988736 264.83968               -53.95309           19.393   
5921369607390496896 265.05485               -53.90614           19.728   
5921370088426958592 265.09419               -53.84845           19.653   
5921374383394302592 264.89257               -53.97226           19.883   
5921315800042389248 265.34896               -54.13391           19.844   
5921360119808950528 264.97095               -54.10374           18.214   
5921369229433859840 264.90770               -53.87853           19.647   
5921370500744070528 264.96884               -53.86838           19.018   
5921371050499992832 264.99043               -53.82343           19.135   
5921367575867401600 265.02102               -53.97754           16.077   
5921366033976968576 265.21568               -53.98052           19.475   
5921364315990159104 265.12300               -54.01498           18.906   
5921362254418625408 264.95496               -54.00842           18.283   
5921369469963684864 265.11002               -53.89873           18.718   
5921369985359760512 265.13717               -53.88078           17.736   
5921375379838796800 264.78269               -53.93623           17.994   
5921318544525753472 265.35876               -53.99324           19.402   
5921362628065076864 264.90132               -53.97715           17.032   
5921372184383006080 264.87729               -54.07391           17.394   
5921362323138097664 264.98459               -53.99642           16.534   
5921371286719264768 264.93470               -53.81879           16.843   
5921363972392436096 265.21138               -54.04930           19.767   
5921366716874369024 265.22397               -53.90898           19.258   
5921362494924696064 264.89144               -54.00530           19.096   
5921370290286837120 265.08217               -53.84325           16.052   
5921366205775779456 265.20684               -53.95586           19.203   
5921366098398664064 265.18715               -53.95953           16.744   
5921371114920573184 265.01483               -53.81765           17.259   
5921312913832376064 265.77216               -54.14208           16.584   
5921331261933444224 265.11764               -54.30892           16.508   
5921317101416309632 265.55511               -54.07392           18.769   
5921369263793609728 264.91158               -53.87354           19.309   
5921368507879041024 264.93067               -53.94707           19.224   
5921367545805883776 265.05477               -53.98082           18.818   
5921366755531793920 265.20840               -53.90325           19.201   
5921370638183036800 264.99548               -53.84756           19.602   
5921346758164059264 264.72229               -54.22751           19.652   
5921369843610570752 265.11263               -53.88746           17.884   
5921372184383022336 264.86197               -54.05611           14.251   
5921369160714288000 264.93626               -53.88678           16.766   
5921372184383022464 264.85531               -54.06051           16.249   
5921373386962214784 264.72613               -53.99624           19.767   
5921370844353332096 264.94687               -53.82769           17.128   
5921371153590977280 264.97621               -53.80837           18.016   
5921370359006322816 265.05174               -53.82916           17.366   
5921368366141397760 264.98878               -53.95726           17.726   
5921368297421920384 264.95859               -53.95890           17.800   
